feature,importance
rna_EMT_FIBROSIS_gene03_logCPM,3.258174949828826e-05
rna_TNF_NFKB_gene03_logCPM,3.256884107456159e-05
spatial_TNF_NFKB_var,3.236985414524546e-05
rna_T_CELL_CYTOTOXIC_gene05_logCPM,3.2279236918839263e-05
rna_EXHAUSTION_PD1_LAG3_TIM3_module_sd_logCPM,3.227901823963779e-05
spatial_MACROPHAGE_var,3.2129374280435926e-05
mech_total_cells_max,3.195359355029003e-05
mech_mean_suppression_activity_early_slope,3.1361480261868374e-05
rna_EMT_FIBROSIS_module_mean_logCPM,3.1306640303180114e-05
rna_NK_CELL_gene02_logCPM,3.1035141329258934e-05
mech_macrophage_NFkB_inflammatory_mean_final,3.103180760279285e-05
bulk_IFNG_RESPONSE_mean,3.099561167392619e-05
rna_ECM_REMODELING_gene05_logCPM,3.067260830018592e-05
